ChainName	ChainProduct	Product_IO	ChainFile
cement	cement	outflow	chainFiles/cementFlow.tsv
CO2capture	CO2	inflow	chainFiles/CO2CapFlow.tsv
power	electricity	outflow	chainFiles/powerFlow.tsv
