scenario	elecDemand	CaCO3	Clay	flyAsh
meta-units	(mj/t)	(t/t)	(t/t)	(t/t)
EU-bat	0.1	0.65	0.25	0.1
EU-typ	0.2	0.67	0.33	0.0
EU-old	0.4	0.75	0.25	0.0
