fuel	HHV	CO2	biogenic
meta-units	(mj/t)	(t/t combusted)	(t/t)
coal	33.7	3.2	0.0
charcoal	30	1.8	1.0
natural gas	40	2.75	0.0
diesel	45.3	3.15	0.0
wood chips	21	1.8	0.0
